Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5153091836072107136,45.462424511757,-16.59453280551054,10.058402,2.590352,1.1850714720529121e-14,0.0,0.0,-5.744080544000001,,,145.69218853775283,nan,,,1.0732157,,                             None,-369.9718433507471,-267.93131192878377,-369.9718433507469,0.029098382,-267.93131192878405,0.028365023
Gaia,DR3,2974726131970829952,75.6178310374648,-21.257878326934936,7.7924075,1.9057045,0.3617735889584428,28.858162721703927,4.062570036718518,-9.643752043071503,,,119.57374393720566,nan,,,1.8184237,,                             None,-161.25116076776027,-276.36010739867857,-166.87715611673468,0.03486889,-269.1830075052256,0.034829374
Gaia,DR3,2974726136265625088,75.61776596344842,-21.257639202011276,9.636776,1.8890948,2.482064112461464,28.858085246831642,4.093291748062667,-9.643791002376595,,,118.82496536460518,nan,,,1.7590977,,                             None,-160.241764451722,-274.628447550905,-111.65569813406324,0.20715636,-235.8333802754412,0.12931252
Gaia,DR3,4894945708668731264,69.75363653878574,-23.88637247111139,19.518845,3.2714863,2.359765249950968,23.888761775166426,6.714079998831129,-8.471931584044691,,,80.7266330030694,nan,,,1.1660544,,                             None,-130.84308750798414,-188.9397908331325,-113.21632667134926,0.24353965,-152.85657506958214,0.37767857
Gaia,DR3,5271055243163629056,124.53289609935437,-68.31451297878304,10.605513,2.503687,2.370374629083913,70.57783188959822,10.546186665046037,1.311460355978238,,,94.26635965165642,nan,,,1.2720871,,                             None,110.70608143481125,-295.74855032247007,94.79378412168863,0.018168053,-340.0843107376204,0.019535838
Gaia,DR3,3011223668834627328,88.67903537720267,-10.589940613821533,14.851106,0.5735588,2.3265296568966516,42.35304491541825,11.213657547039297,-12.595786826507496,,,65.40972622036443,nan,,,1.0526699,,                             None,-45.51372432551315,-126.74337909277804,-64.17766791295959,0.020320589,-152.83592445437645,0.019914491
Gaia,DR3,4955395178633330304,24.680238078048315,-45.242401989897964,9.6543,1.9069147,2.5606230929998284,33.52149490301057,11.656772677467217,2.512336748295757,,,59.717704429683934,nan,,,1.01897,,                             None,-177.51493735816442,-88.20863542500086,-150.790059886341,0.010556066,-70.18266883934484,0.014309214
Gaia,DR3,4955395178633330432,24.681830363431764,-45.24667702813953,9.880607,1.971817,2.0474950165302896,33.52417334156243,11.66085122849944,2.5125834807723177,,,59.70328723625286,nan,,,1.1233547,,                             None,-177.47096006724666,-88.1884812307017,-154.8770086869876,0.011257991,-75.7949302861648,0.014550799
Gaia,DR3,3185759697949251456,70.12147038430267,-9.196327513552045,10.247963,2.225418,1.2686728919587407,25.122333743514705,14.44294662837302,-11.057027709566725,,,49.1149085854867,nan,,,1.2788417,,                             None,-78.79056027002028,-89.01752794095276,-91.25166615371198,0.04937436,-84.86201127270712,0.038412202
Gaia,DR3,4866928335623297152,72.16692671050961,-35.656696129475606,13.785598,3.230507,1.7823640165400616,30.44596196519551,14.591670705629795,-6.284587546135928,,,49.77992820037822,nan,,,1.1796784,,                             None,-75.20086351840767,-134.12125898472243,-58.1908353171347,0.01651339,-126.34240189385542,0.019140985
Gaia,DR3,5173902189571919872,40.05113726351545,-9.453221727859624,5.665346,0.67860794,1.4570764184201652,8.874142712646805,15.034626741930818,-5.62833165978601,,,45.91596169945267,nan,,,3.9465113,,                             None,-123.38221935625413,-75.00620857063554,-136.9289592386625,0.16929305,-78.9310137713743,0.11390538
Gaia,DR3,1431783457574556672,252.10793777808894,59.05497068953857,12.278974,-0.018343925,1.2894781883606983,133.26767255473084,16.43116759242704,0.6919011134436968,,,91.33996015398594,nan,,,1.2010692,,                             None,138.23312614669618,-273.82469968859823,131.71245019856715,0.02424507,-297.78257125969765,0.034242418
Gaia,DR3,3545469496823737984,170.3618294893597,-20.453184458458317,10.18051,2.3933973,0.2875260965774022,114.4526941347559,17.145012891131458,-2.6187254970527065,,,76.19182572554183,nan,,,1.3993816,,                             None,216.08423055909134,-130.87405857480326,220.40023902583206,0.030338317,-129.23081280356257,0.01941268
Gaia,DR3,4383790518216171264,250.02571538084769,0.7045342401421566,12.179532,3.028575,2.3750316682814483,151.05296944785403,17.597548958218898,12.191814538333361,,,88.6929302568156,nan,,,1.2769226,,                             None,142.66599299905803,-128.4362303178524,175.7962063978079,0.033251427,-158.0057248741521,0.025178058
Gaia,DR3,3352081447497931264,100.42870725855788,12.445392442104403,13.441048,3.1700478,1.824623049515717,61.59685019950862,17.665490241256922,-15.553777920275742,,,50.33560963053702,nan,,,1.2225292,,                             None,-3.8692236464828262,-36.560547799830566,11.318524328848945,0.027132599,-24.552160295386116,0.022831315
Gaia,DR3,2999321180586629120,90.5070295579747,-10.032818700674063,15.765267,4.1688814,1.6208560491426716,44.23144959692326,17.787221517715043,-12.78106743159014,,,45.353927978931914,nan,,,1.0002396,,                             None,-27.24849436379379,-86.86910601435366,-41.22305617404822,0.04876199,-93.56776107659694,0.04810988
Gaia,DR3,3375625461782073984,96.6419825721014,20.53717420663529,13.432638,2.9623213,2.6638804869317423,62.45803314303367,17.988252745138038,-15.831509972909085,,,49.74813460273777,nan,,,1.2917926,,                             None,-13.828057125576311,-13.003135971495766,-5.462041910596578,0.02072389,-39.65828221611341,0.016174978
Gaia,DR3,5443030200460964480,160.29020717579056,-36.896327573165614,--,1.2605209,1.3716711482728696,98.647092283814,18.304464031767413,-2.021666688134315,,,62.62429699852711,nan,,,3.6187582,,                             None,162.62696425716436,-130.9618640290346,152.82305713807196,0.12389038,-146.1869664000979,0.31541038
Gaia,DR3,3023526379315580800,86.11290028095758,-4.1006651615257494,13.246959,2.8659315,1.7559559781543879,41.78425242709592,19.222721439761493,-13.391831242789358,,,42.036647780651144,nan,,,1.1734529,,                             None,-34.80671190541168,-68.205864545427,-49.75125512413883,0.014924355,-63.86992899424406,0.01287736
